0.25	0.05	0.6833333333333332	0.2555555555555555
0.5	0.81	0.7133333333333334	0.2533333333333333
0.75	4.52	0.6911111111111112	0.2588888888888889
1.0	7.3	0.7011111111111111	0.251111111111111
1.25	7.94	0.68	0.2522222222222222
1.5	7.86	0.6988888888888889	0.2544444444444444
1.75	9.13	0.7055555555555556	0.2444444444444444
2.0	10.43	0.6955555555555556	0.2488888888888888
2.25	12.65	0.701111111111111	0.2544444444444444
2.5	15.21	0.6888888888888888	0.2466666666666666
2.75	17.83	0.6944444444444445	0.2477777777777777
3.0	19.44	0.7000000000000001	0.261111111111111
3.25	22.69	0.7111111111111111	0.2466666666666666
3.5	23.91	0.7233333333333333	0.2566666666666666
3.75	26.4	0.6933333333333332	0.2533333333333332
4.0	29.77	0.7077777777777777	0.241111111111111
4.25	31.89	0.7033333333333333	0.2511111111111111
4.5	34.7	2.395555555555555	0.5755555555555555
4.75	37.12	5.75111111111111	1.2333333333333334
5.0	39.54	5.667777777777778	1.21
5.25	42.83	5.691111111111112	1.218888888888889
5.5	45.37	5.941111111111113	1.2666666666666666
5.75	47.37	5.821111111111112	1.2477777777777777
6.0	50.33	5.7188888888888885	1.2177777777777778
6.25	51.84	5.696666666666666	1.211111111111111
6.5	54.99	5.685555555555555	1.2133333333333332
6.75	57.26	5.696666666666666	1.2155555555555553
7.0	59.44	5.687777777777778	1.2233333333333332
7.25	62.08	5.7444444444444445	1.2355555555555555
7.5	64.47	5.851111111111112	1.258888888888889
7.75	67.42	5.902222222222221	1.268888888888889
8.0	69.62	5.664444444444444	1.21
8.25	72.7	5.746666666666667	1.242222222222222
8.5	75.68	5.636666666666667	1.211111111111111
8.75	78.07	5.915555555555556	1.2777777777777777
9.0	80.44	5.8244444444444445	1.2566666666666666
9.25	82.71	5.524444444444445	1.238888888888889
9.5	85.45	5.696666666666666	1.2477777777777777
9.75	88.69	5.647777777777779	1.2366666666666666
10.0	91.28	5.904444444444444	1.248888888888889
10.25	94.11	5.414444444444444	1.1766666666666667
10.5	96.75	6.047777777777778	1.2955555555555558
10.75	97.05	6.174444444444444	1.3100000000000005
11.0	96.92	5.923333333333333	1.2744444444444445
11.25	97.92	6.24888888888889	1.3244444444444448
11.5	96.85	5.812222222222222	1.267777777777778
11.75	97.63	6.156666666666666	1.311111111111111
12.0	97.88	5.7366666666666655	1.2566666666666666
